Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,278.0,283.8999938964844,275.5,281.1000061035156,206.41188049316406,178695
2012-01-03,283.5,290.8999938964844,283.5,287.04998779296875,210.78097534179688,359429
2012-01-04,282.1000061035156,287.95001220703125,278.0,280.6499938964844,206.0814971923828,199228
2012-01-05,282.0,293.0,280.45001220703125,282.0,207.0727996826172,526528
2012-01-06,283.0,284.5,274.54998779296875,276.6499938964844,203.144287109375,359466
2012-01-09,279.0,283.29998779296875,273.5,274.6499938964844,201.6757049560547,479261
2012-01-10,276.0,282.5,276.0,279.5,205.23707580566406,548791
2012-01-11,282.5,282.95001220703125,277.1000061035156,279.8999938964844,205.5308074951172,230487
2012-01-12,281.0,302.45001220703125,279.04998779296875,297.75,218.6381072998047,1540379
2012-01-13,299.8999938964844,305.0,285.79998779296875,287.8999938964844,211.4051513671875,847190
2012-01-16,286.75,291.5,285.6499938964844,287.8999938964844,211.4051513671875,337311
2012-01-17,291.6000061035156,297.0,288.70001220703125,291.5,214.04867553710938,436966
2012-01-18,292.04998779296875,295.8500061035156,281.20001220703125,286.54998779296875,210.4138641357422,758508
2012-01-19,288.04998779296875,301.0,284.95001220703125,296.8999938964844,218.01393127441406,2221222
2012-01-20,299.20001220703125,299.54998779296875,275.1000061035156,279.3999938964844,205.16363525390625,1070329
2012-01-23,280.0,284.95001220703125,274.29998779296875,278.45001220703125,204.4660186767578,655050
2012-01-24,279.70001220703125,292.04998779296875,277.5,285.75,209.82643127441406,655311
2012-01-25,289.70001220703125,289.70001220703125,280.04998779296875,283.29998779296875,208.02737426757812,653994
2012-01-27,284.29998779296875,299.75,283.5,296.95001220703125,218.05059814453125,2877998
2012-01-30,292.0,298.5,288.1499938964844,291.1499938964844,213.7916259765625,1083090
2012-01-31,294.3500061035156,307.3999938964844,290.6000061035156,305.04998779296875,223.99842834472656,2243189
2012-02-01,312.0,326.1000061035156,300.04998779296875,320.20001220703125,235.1230926513672,5016792
2012-02-02,322.95001220703125,326.54998779296875,295.1000061035156,301.79998779296875,221.61190795898438,2018633
2012-02-03,302.79998779296875,311.75,301.8500061035156,308.1499938964844,226.27481079101562,1329296
2012-02-06,311.8999938964844,326.3500061035156,311.79998779296875,321.8500061035156,236.33465576171875,1925280
2012-02-07,324.04998779296875,334.45001220703125,317.6000061035156,322.1499938964844,236.5550079345703,1490815
2012-02-08,318.0,323.95001220703125,308.0,316.1499938964844,232.149169921875,1432685
2012-02-09,310.0,332.8999938964844,306.1000061035156,330.0,242.31919860839844,1298406
2012-02-10,327.8999938964844,343.8999938964844,323.6499938964844,340.79998779296875,250.24972534179688,1699651
2012-02-13,329.8999938964844,336.6499938964844,317.5,319.3999938964844,234.53565979003906,1063176
2012-02-14,319.0,324.8500061035156,315.0,316.45001220703125,232.3694305419922,785748
2012-02-15,318.04998779296875,329.70001220703125,318.0,325.04998779296875,240.5850830078125,1551434
2012-02-16,322.0,326.0,317.95001220703125,322.20001220703125,240.32406616210938,534291
2012-02-17,325.6000061035156,332.5,320.79998779296875,323.45001220703125,241.25640869140625,740836
2012-02-21,324.70001220703125,329.45001220703125,320.5,322.25,240.36134338378906,752589
2012-02-22,323.5,336.6499938964844,323.0,331.1499938964844,246.99964904785156,1494402
2012-02-23,331.5,331.5,308.6499938964844,314.3999938964844,234.50613403320312,988512
2012-02-24,315.0,324.0,314.0,318.29998779296875,237.41513061523438,323883
2012-02-27,315.8500061035156,321.70001220703125,302.0,304.29998779296875,226.97267150878906,387483
2012-02-28,307.75,314.0,304.3500061035156,309.3500061035156,230.73941040039062,252494
2012-02-29,311.70001220703125,317.70001220703125,309.0,310.95001220703125,231.93284606933594,181633
2012-03-01,311.0,313.8999938964844,303.6000061035156,309.3999938964844,230.77671813964844,297524
2012-03-02,313.6000061035156,323.95001220703125,304.54998779296875,322.1499938964844,240.28675842285156,732270
2012-03-05,320.3999938964844,320.3999938964844,312.1000061035156,317.45001220703125,236.78114318847656,454432
2012-03-06,313.25,318.5,306.0,307.79998779296875,229.5833282470703,327221
2012-03-07,303.04998779296875,315.8999938964844,303.04998779296875,311.95001220703125,232.6787872314453,611064
2012-03-09,316.45001220703125,320.1000061035156,313.20001220703125,317.04998779296875,236.48272705078125,295910
2012-03-12,322.0,322.95001220703125,310.5,312.20001220703125,232.86524963378906,219512
2012-03-13,314.0,319.1000061035156,313.1499938964844,314.29998779296875,234.4314727783203,226177
2012-03-14,318.0,329.5,314.5,325.5,242.78541564941406,736374
2012-03-15,325.25,329.5,304.0,316.79998779296875,236.2961883544922,711324
2012-03-16,324.8999938964844,324.8999938964844,313.95001220703125,316.04998779296875,235.73684692382812,226058
2012-03-19,316.75,320.5,312.25,314.1000061035156,234.282470703125,235891
2012-03-20,315.75,317.5,312.1000061035156,314.70001220703125,234.72987365722656,178051
2012-03-21,314.0,328.0,314.0,321.25,239.6154327392578,1247415
2012-03-22,324.0,324.8999938964844,308.1000061035156,313.1499938964844,233.57379150390625,203541
2012-03-23,318.0,318.0,312.5,314.0,234.2078094482422,219285
2012-03-26,314.0,319.45001220703125,303.79998779296875,305.04998779296875,227.5321502685547,257356
2012-03-27,310.0,312.0,302.3500061035156,309.04998779296875,230.5157012939453,384210
2012-03-28,307.04998779296875,309.0,300.3500061035156,301.6000061035156,224.9588165283203,139769
2012-03-29,301.0,308.1000061035156,296.8500061035156,303.29998779296875,226.226806640625,227912
2012-03-30,304.75,307.54998779296875,301.8999938964844,304.1499938964844,226.86083984375,304868
2012-04-02,306.0,309.79998779296875,303.1499938964844,305.20001220703125,227.64398193359375,272289
2012-04-03,306.0,310.0,303.6000061035156,305.0,227.4947967529297,478025
2012-04-04,305.0,305.8999938964844,300.45001220703125,304.25,226.9354248046875,162034
2012-04-09,298.45001220703125,303.5,295.8999938964844,298.04998779296875,222.3109130859375,247174
2012-04-10,299.3999938964844,299.8999938964844,287.0,289.1000061035156,215.6352996826172,550854
2012-04-11,288.0,295.0,281.6499938964844,289.70001220703125,216.0828094482422,1167579
2012-04-12,297.95001220703125,297.95001220703125,290.5,291.8500061035156,217.68643188476562,160035
2012-04-13,294.6000061035156,294.8500061035156,286.3500061035156,286.6499938964844,213.8078155517578,1216289
2012-04-16,286.8999938964844,289.70001220703125,282.3500061035156,284.54998779296875,212.24148559570312,107193
2012-04-17,285.95001220703125,288.8999938964844,280.1499938964844,283.0,211.08534240722656,201074
2012-04-18,280.29998779296875,308.29998779296875,280.29998779296875,303.25,226.18955993652344,1426781
2012-04-19,304.0,309.79998779296875,298.5,303.1000061035156,226.07763671875,458563
2012-04-20,303.20001220703125,306.6000061035156,300.0,302.1000061035156,225.331787109375,317517
2012-04-23,301.79998779296875,302.3500061035156,287.0,288.3999938964844,215.1131134033203,325620
2012-04-24,293.5,293.6000061035156,282.54998779296875,284.25,212.01773071289062,183817
