1399.15,286.15,795.85,525.3,1326.55,81.7,1446.95,,,63.1,84.3,149.95,427.2,96.5,,,,74.95,127.7,,149.95,20.45,,26.35
1394.3,284.5,810.95,528.15,1340.75,81.65,1446.75,,,62.75,84.1,148.1,456.9,98.85,,,,77.35,129.9,,153.3,20.6,,26.85
1393.6,278.85,800.5,508.95,1319.3,78.9,1421.9,,,62.1,83.3,145.8,467.8,100.15,,,,73.05,128.7,,151.8,20.2,,27.75
1390.1,276.35,802.1,506.65,1312.6,79.55,1452.7,,,62.5,87.35,144.3,476.7,100.2,,,,73.8,137.8,,156,20.85,,28.8
1391.65,279.1,824.15,513.4,1326.2,79.85,1454.65,,,62.15,88.05,146.55,479.15,100,,,,73.75,137.65,,154.55,20.85,,30.2
1380.1,278.65,816.15,506.3,1306.45,77.15,1424.7,,,60.15,84.85,144.45,462.5,98.35,,,,70.95,137.85,,152.8,20.35,,28.7
1377,275.95,809.5,512.9,1299.2,77.1,1433.75,,,60.3,85.3,143.95,455.55,99.75,,,,70.9,136.55,,155.35,20.3,,29.25
1380.75,276.75,818.95,518.65,1319.7,77.55,1461.5,,,60.9,85.35,143.2,472.25,99.3,,,,70.75,138.2,,155.65,20.25,,29.7
1386.2,276,817,511.8,1330.75,77.6,1448.2,,,60.65,84.65,141.4,474.3,98.7,,,,70.95,136.7,,154.7,20.6,,29.35
1392.2,274.4,824.9,510.15,1327.35,75.95,1474.45,,,60.25,84.3,141.05,479.1,98.2,,,,70.55,135.45,,154.35,20.45,,28.5
1394.2,273.5,825.45,516.4,1326.3,75.6,1465.25,,,60.1,85.6,137.6,471.8,97.75,,,,70.05,136.7,,157.55,20.25,,27.75
1400.1,270.55,828.9,515.9,1335.75,75.8,1481.35,,,59.85,85,137.75,470.05,98.6,,,,69.1,136.3,,159.95,20.15,,27.8
1410.7,287.25,836.15,510.9,1354.2,76.15,1531.75,,,60.8,86.35,139.85,476.75,97.1,,,,70.7,139.55,,165.5,20.2,,27.35
1416.6,285.15,844.15,511.7,1348.35,76.05,1529.05,,,61.45,86.4,148.1,476.85,99.3,,,,72.6,139.65,,164.05,20.25,,27.7
1417.35,284.5,851.4,513.65,1376.55,76.9,1527.95,,,61.75,88.45,147.95,479.15,101.75,,,,74.5,141.7,,165.4,20.5,,27.6
1425.85,280.6,848.25,517.15,1383.55,75.95,1507.9,,,61.85,87.3,146.75,486.65,101.8,,,,75.15,139.6,,163.75,20.55,,27.05
1436.1,275.05,854.6,502.85,1379.6,77.8,1515.75,,,61.6,86.9,145.7,498.25,105.45,,,,75.7,139.4,,164.05,20.45,,26.8
1440.95,272.05,859.55,488.3,1390.25,77.35,1484.75,,,61.35,88.75,146,501,106.15,,,,74.85,138.75,,165.6,20.35,,26.5
1430.9,265,862.2,485.45,1376.6,75.6,1470.85,,,60.3,87.05,143.75,501,105.15,,,,76.1,136.8,,163.5,20.1,,26.15
1430.9,266.95,868.15,488.25,1383.9,75.2,1518.6,,,60.5,88.25,142.5,500.1,107.3,,,,75.55,138,,165.2,20.2,,26.1
1424.35,274.75,879.35,489.35,1389.55,75.7,1529.05,,,60.95,89.85,143.95,492.95,109.8,,,,74.8,138.8,,166.25,20.25,,27.1
1409.85,273.15,871.15,487.15,1402.1,74.9,1527.95,,,60.75,90,142.3,495.75,109.3,,,,73.45,139.75,,169.35,20.2,,26.35
1420.2,277,859.45,502.8,1404.25,75.75,1534.85,,,60.5,90.55,142.6,486.6,108.35,,,,73.5,139.7,,171.15,20.25,,26.65
1428.6,282.2,857.6,504.2,1398.3,75.9,1544.95,,,60.45,91.15,142.05,485.8,109.95,,,,73.9,140.35,,168.55,19.95,,26.55
1466.2,281.35,865.15,499.25,1422.3,74.5,1552.15,,,59.65,90.75,145,486.55,110.4,,,,74.75,140.1,,168.35,20.25,,26.75
1442.55,276.85,872.2,490.8,1425.15,75.1,1546.75,,,59.3,91.45,151.6,494.55,112,,,,75,140.7,,170.25,21.35,,29.75
1433.2,286.7,875.95,500.6,1403.45,75.9,1538.85,,,59.8,90.5,151.65,507.4,116.45,,,,74.85,141.05,,170.4,21.55,,31.9
1432.35,284.85,889.85,508.3,1400.95,77.1,1567.5,,,60.45,91,152.65,533.9,117.95,,,,78,146.05,,171.35,21.55,,33.05
1438.5,280.85,894.35,508.7,1421.65,76.5,1564.75,,,60.55,88.9,152.85,547.1,115.35,,,,79.3,146.2,,170.15,21.45,,31.8
1438.85,277.35,873.1,504.2,1412.2,75.25,1556.55,,,60.25,87.85,152.95,555.5,113.8,,,,79.05,144.3,,167.5,21.65,,36.5
1434.15,277.65,877.35,510.75,1425.35,75.1,1599.6,,,60.25,89.95,153.1,587.45,116.85,,,,80.5,146.15,,171.1,21.75,,36.9
1439.5,283.65,881.05,515.05,1424.5,76,1614.75,,,60.9,92,153.5,574.8,121.2,,,,79.9,159.35,,181.05,22.5,,38.7
1443.7,280.8,879.4,506,1437.75,75.1,1631.45,,,60.3,92.55,149.35,579.95,119.65,,,,79.2,155.1,,181.75,22.45,,37.4
1440.3,282.8,879.5,507.55,1437.7,73.85,1616.4,,,60.05,92.6,150.6,558.65,118.65,,,,78.45,154.2,,179.7,22.5,,37.25
1436.8,282.4,887.6,502.35,1435.25,72.8,1610.6,,,59.4,92.55,150.2,540.5,117.6,,,,78.75,152.15,,173.3,22.5,,36.25
1447.3,283.4,881.65,499.65,1431.75,72.7,1605.9,,,59.1,91.95,148.6,550.95,117.95,,,,77.6,150.25,,177.4,22.35,,33.85
1449,280.55,875.6,499.5,1421.6,71.85,1605.45,,,58.55,91.65,148.55,578.2,119.45,,,,77.1,152,,176.25,22.3,,33.3
1462.15,272.75,889.15,488,1427.6,72.3,1545.15,,,58.65,92.55,148.6,577.4,118.85,,,,78,152.55,,180.25,22.4,,35.85
1496.6,269.15,880.4,486.25,1435,72.2,1544.15,,,58.8,92.35,149.2,570.2,117.65,,,,80.95,154.6,,183.4,23.9,,37.15
