84.75,1076.25,2258.55,1247.65,955.65,827.5,269.3,255.75,1256.9,500.1,318.6,79.8,,248.8,917.7,731.2,,1442.8,58.75,830.55,477.25,935.25,5676.9,,643.5,3012.6,484.75,362.85,3340.2,5883.45,189.35,198.35,300.65,1211,170.65,199.4,285.75,,526.4,313.8,,,635.6,680.1,243.35,352.85,172.6,854.75,36.15,1177.2,2965.75,212.5,2721.65,487.15,277.5,1217.5,159.6,439.35,129.85,738,14756.05,22343.3,588.8,,875.8,668.1,,,414.1,381.4,2985.3,127.65,331.15,1897.6,77.75,1624.3,257.8,447.8,128.7,1176.6,78.9,,1957.3,1126.2,278.2,74.4,1328.75,25.55,213.15,702.7,137.7,1329.1,328.7,,,21478.8,355.55,821.5,28.1,527.1
84.15,1041.25,2278.75,1238.5,955.4,840.65,268.4,256,1245.8,499.75,318.5,78.95,,251.95,914.35,726,,1445.75,62.4,837.75,487.2,960.15,5669.4,,649.7,3019.7,482.4,359.95,3380.25,5895.8,186.7,194.8,294.85,1204.45,175.7,197.75,284.95,,523.7,307,,,627.4,680.45,236.1,351.1,171.05,845.45,37,1173.65,3013.55,212.9,2728.9,486.75,277.9,1214.1,159.05,433.1,131.65,738.4,14966.6,22350.15,587.25,,878.25,664.95,,,411.9,372.85,2976.55,127.6,331.7,1911.85,77.85,1655.95,255.95,445.6,130.25,1167.1,77.5,,2085.15,1111.55,284.25,74,1323.8,25.65,214.85,734.55,138.5,1331.7,326.35,,,21416.2,353.3,821.05,33.7,525.3
85.6,1032.55,2295.1,1242.6,950.8,864.95,268.45,258.35,1249.05,495.25,313.9,79.2,,250.85,930.35,731.1,,1452.45,63.95,844.05,488.5,963.35,5684.45,,649.95,3046.65,482.95,367,3501.65,5918.25,191.1,198,291.9,1214.6,172.75,198.45,289.55,,522.45,308.7,,,635.65,690.65,244.4,348.6,177,865.1,37.85,1192.3,3091.55,217.55,2699.7,483.65,278.6,1227.8,158.85,434,131.85,739.25,15435.9,22449.95,580.8,,879.65,655.45,,,408.45,379.3,2948.05,128.65,340,1889.9,78.65,1656.15,259.9,439.5,130.35,1174.6,80.2,,2104.6,1147.15,288.2,74.1,1345.95,25.75,214.7,730.5,138.95,1308.7,330.85,,,21100.9,350.55,835.3,36.85,526.4
85.9,1033.7,2291,1236.3,958.1,860.3,269.7,258.4,1242.4,494.7,317.1,80.6,,254.15,926.3,728.2,,1449.45,64.2,844.15,483.8,962.7,5718.35,,643.45,3154.75,479,372.7,3461.45,5911.45,192.65,200.85,295.35,1210.8,174.15,201.8,293.15,,531.45,307.35,,,629.2,685.2,245.25,359.75,176.1,864.8,38.75,1182,3107.95,220.35,2695.3,481.4,276.9,1220.35,160.1,434.5,132.4,732.2,15647.9,22822.05,580.35,,904.15,673.9,,,410.95,387.75,2940.25,130.5,349.75,1880.5,79.3,1668.85,257.95,461.65,132.25,1179.85,80,,2044.8,1149.55,286.8,76.55,1347.5,25.6,213.2,739.6,140.1,1307.2,325.65,,,21245,358.25,860.5,37.45,529.85
85.15,1025.8,2285.35,1236.35,948.7,860.45,263.45,251.05,1237.3,486.75,320.55,77.5,,255.4,907.7,723.05,,1414.75,62.1,838.75,450.75,967.2,5668.95,,641.55,3064,477.9,360.7,3471.65,5899.8,185.65,197.3,284.15,1192.05,170.45,199.4,288.05,,523.2,303.7,,,626.9,678.1,238.55,352.35,171.65,863.3,34.35,1154.6,3078.3,217.7,2701.05,468.65,275.9,1220.25,154.35,433.85,128.55,714.4,15497.8,22789.15,577.6,,925.7,664.75,,,404.6,401.2,2947.4,126.4,359.4,1882.45,77.55,1644.3,255.5,460.1,127.95,1154.7,77.15,,2077.9,1131.85,272.65,74.3,1358.7,25.3,210.4,733.75,135.7,1292.85,326.35,,,21301.9,353.2,839.35,36.7,517.8
85.15,1015.9,2306.7,1244.65,952.7,862.4,257.55,254.15,1259.75,496.45,319.65,78.2,,259.65,929.65,732.75,,1393.55,63.8,857.3,445,964.7,5700,,633.65,3063.45,479.75,363.95,3527.8,5924.05,194.15,199.9,286.25,1188.9,169.6,200.2,295.1,,532.7,303.4,,,629.55,665.2,245.25,357.75,181.7,883.7,34.75,1158.95,3093.1,220.1,2706.5,469.7,276.85,1231.25,154.2,434.75,130.95,687.05,15169.65,22736.95,575.75,,934.5,677.05,,,396.7,410.25,2923.65,127.9,361.15,1874.8,77.55,1653.15,254.85,470.9,129.75,1148.9,78.9,,2203.85,1117.7,274.65,76.1,1382.95,25.3,209.5,726.05,137.95,1285.3,323.65,,,21266.25,346.8,836.05,36.75,519.4
85.45,1027.3,2318.35,1267.55,945.55,860.35,257.15,254.9,1280.75,497.3,316.5,79.65,,259.85,929.75,743.35,,1419.8,63.45,848.8,451.25,973.45,5737.2,,641.4,3128.8,481.5,364.35,3656.85,5957.75,193.95,201.6,293.15,1220.7,172.35,203.35,303.65,,541.55,309.45,,,656.45,680.05,252.45,366.8,187.15,911.35,35.2,1164.3,3148.35,223.4,2798.95,469.9,277.3,1251.55,156.05,430.3,131.55,683.05,15698.2,23000.7,579.9,,930,682.4,,,404.75,412.8,2973.35,128.45,359.75,1891.75,79.9,1665,257.75,474.55,131.4,1174.4,81.05,,2208.6,1116.05,277.8,76.35,1358.9,25.4,210.05,729.55,138.85,1293.35,330.85,,,21819.45,350.65,893.65,37.2,524.8
85.55,1017.3,2353,1290.6,936.6,869.2,259.95,259.2,1337.4,488.35,311.35,80,,265.5,999.85,795.2,,1449.75,63.25,841.25,463.55,977.7,5802.55,,635.85,3169.7,473.7,372.15,3680.4,5965.95,196.15,204.9,304.65,1243.8,171.35,203.1,300.45,,548.9,317.2,,,689.65,686.7,258.6,380.3,190.75,928.1,35.35,1180.1,3134.9,229.15,2849.65,465.65,281.25,1265.4,161.95,427.55,137.4,673.3,15793.2,22990.95,585.65,,929,711.2,,,404.85,423.85,2996.3,128.35,353.85,1927.6,80.1,1709.7,255.85,475.9,133.25,1221.85,82.2,,2194.15,1105.8,281.75,80,1406.8,26,213.2,740.2,142.1,1301.15,331.5,,,22877.95,351.75,877.3,36.6,538.35
85.05,1025.1,2357.8,1291.9,942.15,855.95,272,266.45,1373.7,490.25,323.75,92.6,,257.4,995.85,785.05,,1439.9,66.65,844.2,472.85,969.6,5915.9,,640.5,3169.4,465.55,372.8,3686.3,5914.2,195.35,204.5,303.95,1251.7,177.5,204.55,300.65,,541.95,317.75,,,678.85,687.35,257.55,384.05,190.75,931.2,36.6,1177.3,3102.95,232.8,2854.1,467.1,277.1,1253.35,167.7,430.2,135.6,708.5,15912.35,23482.65,580.15,,928,704.75,,,398.75,423.5,2994.55,129.2,353.9,1929.65,81,1706.9,257.9,482.05,137.35,1232.55,79.3,,2270.55,1110.65,284,79.05,1398.75,26.15,211.15,728.45,143.05,1297.85,344.35,,,22459.7,353.9,871.6,33.55,537.7
84.05,1044.8,2332.9,1284.95,949.35,853.55,270.8,263.95,1371.9,482.85,345.65,92.35,,256.1,1054.8,775.6,,1442.8,66.85,840.25,471.9,973.2,5894.95,,644.75,3205.45,465.75,371.45,3693.9,5899.5,196.5,201.85,302.6,1245.6,175.7,205.7,300.35,,532.3,314.7,,,678.05,677.65,260.7,377.8,191.5,969.55,36.05,1178.6,3145.7,229.45,2825.05,471.6,280.2,1239.7,167.75,428.85,136.95,701.1,15726.2,23234.4,582.25,,935.15,704.65,,,400.25,420.85,3017.05,130.45,351.3,1933.85,80.55,1691,258.15,483.85,137.65,1239.6,81.7,,2241.9,1103,287.85,78.75,1389,26.2,212.85,738.05,148.45,1305.7,343.55,,,22254.95,328.7,883.2,30.35,533.35
